job_id,job_title,company,location,experience_required,employment_type,salary_min,salary_max,skills,education,industry,posted_date,remote,job_description
JOB0001,Data Analyst,TCS,Mumbai,0-1 years,Full-time,350000,520000,Python;SQL;Excel;Power BI,B.Tech,IT Services,03-01-2026,Hybrid,Analyze business data and prepare actionable reports.
JOB0002,Software Engineer,Infosys,Pune,1-3 years,Full-time,520000,850000,Java;Python;Git;APIs,B.E.,IT Services,04-01-2026,Yes,Develop and maintain scalable software applications.
JOB0003,Python Developer,Wipro,Bangalore,1-3 years,Full-time,500000,820000,Python;Django;Flask;SQL,BCA,IT Services,05-01-2026,Hybrid,Build backend applications and REST APIs.
JOB0004,Data Scientist,Accenture,Hyderabad,3-5 years,Full-time,850000,1350000,Python;Machine Learning;SQL;Pandas,M.Tech,Consulting,06-01-2026,Yes,Build predictive models and generate data-driven insights.
JOB0005,Java Developer,Capgemini,Chennai,1-3 years,Full-time,480000,800000,Java;Spring Boot;SQL;REST API,B.Tech,IT Services,07-01-2026,No,Develop enterprise Java applications.
JOB0006,Frontend Developer,Deloitte,Pune,1-3 years,Full-time,500000,850000,HTML;CSS;JavaScript;React,B.E.,Consulting,08-01-2026,Hybrid,Develop responsive web interfaces and user experiences.
JOB0007,Backend Developer,HCLTech,Noida,3-5 years,Full-time,750000,1250000,Node.js;Python;APIs;SQL,B.Tech,IT Services,09-01-2026,Yes,Develop secure and scalable backend services.
JOB0008,Full Stack Developer,Cognizant,Bangalore,3-5 years,Full-time,800000,1300000,React;Node.js;MongoDB;JavaScript,B.Tech,E-Commerce,10-01-2026,Hybrid,Build full-stack web applications.
JOB0009,Machine Learning Engineer,IBM,Bangalore,3-5 years,Full-time,900000,1500000,Python;TensorFlow;ML;Docker,M.Tech,IT Services,11-01-2026,Yes,Develop and deploy machine learning models.
JOB0010,Cloud Engineer,Microsoft,Hyderabad,3-5 years,Full-time,1000000,1700000,AWS;Azure;Docker;Kubernetes,B.Tech,IT Services,12-01-2026,Yes,Manage cloud infrastructure and deployment pipelines.
JOB0011,DevOps Engineer,Amazon,Bangalore,5-8 years,Full-time,1300000,2000000,Linux;Docker;Kubernetes;Jenkins,B.Tech,E-Commerce,13-01-2026,Hybrid,Automate deployment and manage cloud infrastructure.
JOB0012,Business Analyst,Tech Mahindra,Mumbai,1-3 years,Full-time,550000,900000,Excel;SQL;Power BI;Business Analysis,MBA,Banking,14-01-2026,No,Analyze business requirements and prepare insights.
JOB0013,Product Manager,Oracle,Bangalore,5-8 years,Full-time,1400000,2200000,Product Strategy;Agile;Analytics,MBA,IT Services,15-01-2026,Hybrid,Manage product strategy and cross-functional delivery.
JOB0014,Project Manager,LTIMindtree,Pune,5-8 years,Full-time,1200000,1900000,Agile;Scrum;Jira;Leadership,MBA,IT Services,16-01-2026,Yes,Lead projects and coordinate technical teams.
JOB0015,UI UX Designer,Persistent Systems,Mumbai,1-3 years,Full-time,500000,850000,Figma;UI Design;UX Research,B.Des,E-Commerce,17-01-2026,Hybrid,Design intuitive digital products and interfaces.
JOB0016,Cyber Security Analyst,Mphasis,Hyderabad,1-3 years,Full-time,600000,950000,Cybersecurity;SIEM;Networking;Linux,B.Tech,IT Services,18-01-2026,Yes,Monitor security events and investigate threats.
JOB0017,Database Administrator,TCS,Chennai,3-5 years,Full-time,700000,1150000,SQL;MySQL;Oracle;Database,B.Tech,Banking,19-01-2026,No,Maintain databases and optimize database performance.
JOB0018,QA Engineer,Infosys,Pune,1-3 years,Full-time,450000,750000,Selenium;Testing;Java;Automation,B.E.,IT Services,20-01-2026,Hybrid,Perform software testing and automation.
JOB0019,AI Engineer,Google,Bangalore,3-5 years,Full-time,1100000,1900000,Python;AI;Deep Learning;NLP,M.Tech,IT Services,21-01-2026,Yes,Develop AI models and intelligent applications.
JOB0020,Marketing Analyst,Flipkart,Delhi,1-3 years,Full-time,500000,800000,Excel;Google Analytics;SQL;Marketing,MBA,E-Commerce,22-01-2026,Hybrid,Analyze marketing campaigns and customer behavior.
JOB0021,Data Analyst,Wipro,Pune,1-3 years,Full-time,480000,780000,Python;SQL;Excel;Power BI,B.Sc,FinTech,23-01-2026,Yes,Analyze datasets and create business dashboards.
JOB0022,Software Engineer,Accenture,Mumbai,1-3 years,Full-time,550000,900000,Java;Python;Git;APIs,B.Tech,Consulting,24-01-2026,Hybrid,Develop software solutions for enterprise clients.
JOB0023,Python Developer,TCS,Hyderabad,0-1 years,Full-time,380000,550000,Python;Django;Flask;SQL,MCA,IT Services,25-01-2026,No,Develop Python applications and APIs.
JOB0024,Data Scientist,Amazon,Bangalore,3-5 years,Full-time,950000,1550000,Python;Machine Learning;SQL;Pandas,M.Tech,E-Commerce,26-01-2026,Yes,Develop statistical and machine learning models.
JOB0025,Java Developer,Infosys,Chennai,3-5 years,Contract,700000,1150000,Java;Spring Boot;SQL;REST API,B.Tech,Telecommunications,27-01-2026,Hybrid,Build and maintain Java-based services.
